"genotype","BLUP","env","trait","model"
"L018",52.8125091790063,"Clavet.2024","DTF","GIBD"
"L019",53.6064063774999,"Clavet.2024","DTF","GIBD"
"L020",55.1786013677899,"Clavet.2024","DTF","GIBD"
"L021",53.057724043363,"Clavet.2024","DTF","GIBD"
"L022",55.1572605857322,"Clavet.2024","DTF","GIBD"
"L023",53.2565103833155,"Clavet.2024","DTF","GIBD"
"L024",53.5480291227276,"Clavet.2024","DTF","GIBD"
"L025",53.7483896785789,"Clavet.2024","DTF","GIBD"
"L026",55.2498847679896,"Clavet.2024","DTF","GIBD"
"L027",52.3788213071219,"Clavet.2024","DTF","GIBD"
"L028",52.9618142240449,"Clavet.2024","DTF","GIBD"
"L029",52.6012718961397,"Clavet.2024","DTF","GIBD"
