"genotype","BLUP_combined","trait","Genotype","dev_year"
"L089",88.2665385323972,"DTM","L089",2016
"L090",90.9669646679703,"DTM","L090",2016
"L091",87.2558005896085,"DTM","L091",2016
"L092",85.8517172774451,"DTM","L092",2017
"L093",89.2962855089116,"DTM","L093",2018
"L094",89.0509375238994,"DTM","L094",2017
"L095",87.2345752658076,"DTM","L095",2020
"L096",89.8903866524262,"DTM","L096",2020
"L097",88.6713885140117,"DTM","L097",2019
"L098",89.3212376355288,"DTM","L098",2019
"L099",89.2263659425085,"DTM","L099",2019
"L100",88.9200146593481,"DTM","L100",2019
"L001",36.0749980549362,"RepP","L001",2023
"L002",36.1960166334218,"RepP","L002",2025
"L003",38.1208193019457,"RepP","L003",2023
"L004",37.3754710983984,"RepP","L004",2026
"L005",37.9384216512881,"RepP","L005",2023
"L006",36.4973416753927,"RepP","L006",2023
"L007",35.850062242719,"RepP","L007",2023
"L008",38.351126851926,"RepP","L008",2023
"L009",36.4890468051748,"RepP","L009",2023
"L010",35.8634214447707,"RepP","L010",2023
"L011",38.2643648365065,"RepP","L011",2026
"L012",36.3025699137346,"RepP","L012",2023
"L013",37.9124177278544,"RepP","L013",2024
"L014",36.1467776231564,"RepP","L014",2025
"L015",37.1452205420115,"RepP","L015",2024
"L016",36.8974868547709,"RepP","L016",2025
"L017",37.4857616162487,"RepP","L017",2024
"L018",36.8339958415226,"RepP","L018",2024
"L019",35.6146845118226,"RepP","L019",2023
"L020",35.4443591271985,"RepP","L020",2025
"L021",35.7552219512248,"RepP","L021",2024
"L022",37.139862330381,"RepP","L022",2024
"L023",37.5228584361293,"RepP","L023",2026
"L024",37.2922789478983,"RepP","L024",2024
"L025",37.4631398578795,"RepP","L025",2026
"L026",35.522417145418,"RepP","L026",2025
"L027",35.5550990855509,"RepP","L027",2026
"L028",35.9887706847099,"RepP","L028",2025
"L029",35.2737128029401,"RepP","L029",2026
"L030",35.8928489542306,"RepP","L030",2025
"L031",36.9246525270328,"RepP","L031",2026
"L032",35.9706229014193,"RepP","L032",2026
