"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"L085",1032.40240243812,0.974446882584022,41931.8988682553,0.895705588742484,0.0535827618103716,TRUE,"YLD","Average stability"
"L086",689.790098551724,0.75873190027357,2738.63249875479,0.987611724052486,0.00621344140077732,TRUE,"YLD","Stable / low-input adapted"
"L087",998.711423648072,0.735978472827858,1313.18062661511,0.993648234247618,0.00318094207242506,TRUE,"YLD","Stable / low-input adapted"
"L088",764.972846062175,0.934082884413104,89.303799589176,0.999730195317823,0.000134911441637055,TRUE,"YLD","Average stability"
"L089",750.912705579266,0.729208302438904,6855.66707204262,0.967122736135946,0.0165760140529691,TRUE,"YLD","Stable / low-input adapted"
"L090",808.429340346923,0.892293537564073,1704.85448382153,0.994385717483067,0.00281109237864704,TRUE,"YLD","Average stability"
"L091",1052.37310625688,1.11836233586386,9067.460902837,0.981242941341388,0.00942292508791207,TRUE,"YLD","Average stability"
"L092",852.763146491924,0.95747440151821,475.777088076163,0.998633458398569,0.000683504389841165,TRUE,"YLD","Average stability"
"L093",1053.58213989774,1.00536321349412,202.244383771933,0.999472686385511,0.000263691573867414,TRUE,"YLD","Average stability"
"L094",1051.21332772341,1.02958398708301,1261.48911753595,0.996871998800069,0.00156522556550118,TRUE,"YLD","Average stability"
"L095",963.310993242801,1.14775264985249,2455.27355013095,0.995109629418693,0.00244818208842244,TRUE,"YLD","Average stability"
"L096",770.516863269599,0.963390711103939,2960.86382290039,0.991658517648616,0.00417947518209093,TRUE,"YLD","Average stability"
"L097",1077.11880106924,1.1338330152927,926.326045577142,0.99810369188264,0.000948603983438673,TRUE,"YLD","Average stability"
"L098",1168.83381299223,1.13480199374862,161.549416007114,0.999669334301097,0.00016534651918706,TRUE,"YLD","Average stability"
"L099",762.836367580208,0.887862718623299,3854.8833881652,0.987270153219652,0.0063853094787436,TRUE,"YLD","Average stability"
"L100",805.77781858192,0.96529932739103,18.4676925960349,0.999947744320539,2.61281810716353e-05,TRUE,"YLD","Average stability"
