"Lentil","PredictedMean","BLUP","Trait","ENV","grand_mean"
"L094",54.7104073790554,1.51201380829821,"DTF","Clavet_2024",53.1983935707572
"L095",52.9257911674609,-0.272602403296325,"DTF","Clavet_2024",53.1983935707572
"L096",52.7288370311639,-0.469556539593242,"DTF","Clavet_2024",53.1983935707572
"L097",52.9444620765371,-0.253931494220133,"DTF","Clavet_2024",53.1983935707572
"L098",53.4585875775666,0.260194006809435,"DTF","Clavet_2024",53.1983935707572
"L099",51.9144768154043,-1.28391675535293,"DTF","Clavet_2024",53.1983935707572
"L100",52.5067814698806,-0.691612100876554,"DTF","Clavet_2024",53.1983935707572
"CL1",85.395154842177,-1.34072376483527,"DTM","Clavet_2024",86.7358786070122
"CL2",88.9089621523476,2.17308354533542,"DTM","Clavet_2024",86.7358786070122
"CL3",87.9999926536724,1.26411404666018,"DTM","Clavet_2024",86.7358786070122
"Extra",84.5533692042212,-2.18250940279107,"DTM","Clavet_2024",86.7358786070122
"L001",89.1757758631911,2.43989725617888,"DTM","Clavet_2024",86.7358786070122
"L002",86.354961056859,-0.380917550153228,"DTM","Clavet_2024",86.7358786070122
"L003",87.5761230861221,0.840244479109899,"DTM","Clavet_2024",86.7358786070122
"L004",86.7612418647601,0.0253632577478555,"DTM","Clavet_2024",86.7358786070122
"L005",87.7992495991799,1.06337099216771,"DTM","Clavet_2024",86.7358786070122
"L006",88.8678069528326,2.1319283458204,"DTM","Clavet_2024",86.7358786070122
"L007",86.7426061045635,0.00672749755131008,"DTM","Clavet_2024",86.7358786070122
"L008",88.6862637501078,1.95038514309555,"DTM","Clavet_2024",86.7358786070122
"L009",85.4936502274296,-1.24222837958258,"DTM","Clavet_2024",86.7358786070122
"L010",87.4095261770711,0.673647570058918,"DTM","Clavet_2024",86.7358786070122
"L011",90.2416990615696,3.50582045455738,"DTM","Clavet_2024",86.7358786070122
"L012",88.903028552862,2.16714994584979,"DTM","Clavet_2024",86.7358786070122
"L013",88.402528020767,1.66664941375475,"DTM","Clavet_2024",86.7358786070122
"L014",86.4085258242313,-0.32735278278092,"DTM","Clavet_2024",86.7358786070122
"L015",85.9621724493999,-0.773706157612281,"DTM","Clavet_2024",86.7358786070122
"L016",85.8115344785486,-0.924344128463673,"DTM","Clavet_2024",86.7358786070122
"L017",87.2085823445768,0.472703737564586,"DTM","Clavet_2024",86.7358786070122
"L018",86.7165222122637,-0.0193563947485558,"DTM","Clavet_2024",86.7358786070122
"L019",84.5468766747467,-2.18900193226557,"DTM","Clavet_2024",86.7358786070122
"L020",87.9389118173065,1.20303321029432,"DTM","Clavet_2024",86.7358786070122
"L021",84.8603077495772,-1.87557085743501,"DTM","Clavet_2024",86.7358786070122
"L022",89.1978931278479,2.46201452083564,"DTM","Clavet_2024",86.7358786070122
"L023",87.8038953830576,1.06801677604535,"DTM","Clavet_2024",86.7358786070122
"L024",89.9850846048105,3.24920599779826,"DTM","Clavet_2024",86.7358786070122
"L025",88.7484348747525,2.01255626774029,"DTM","Clavet_2024",86.7358786070122
"L026",87.2169423130398,0.481063706027555,"DTM","Clavet_2024",86.7358786070122
"L027",83.7785538126493,-2.95732479436295,"DTM","Clavet_2024",86.7358786070122
"L028",86.0967549017845,-0.639123705227718,"DTM","Clavet_2024",86.7358786070122
"L029",84.7229912498388,-2.01288735717345,"DTM","Clavet_2024",86.7358786070122
"L030",88.2459863789359,1.51010777192369,"DTM","Clavet_2024",86.7358786070122
"L031",84.7918477963209,-1.94403081069134,"DTM","Clavet_2024",86.7358786070122
"L032",85.332851133697,-1.40302747331518,"DTM","Clavet_2024",86.7358786070122
"L033",87.5284142143758,0.792535607363547,"DTM","Clavet_2024",86.7358786070122
"L034",87.5696696015402,0.833790994528016,"DTM","Clavet_2024",86.7358786070122
"L035",84.6017096435775,-2.13416896343477,"DTM","Clavet_2024",86.7358786070122
"L036",85.5721327504977,-1.16374585651452,"DTM","Clavet_2024",86.7358786070122
"L037",85.4427983464843,-1.29308026052793,"DTM","Clavet_2024",86.7358786070122
"L038",88.1853709441894,1.44949233717718,"DTM","Clavet_2024",86.7358786070122
"L039",85.7014329849914,-1.03444562202078,"DTM","Clavet_2024",86.7358786070122
"L040",86.0231908376411,-0.712687769371158,"DTM","Clavet_2024",86.7358786070122
"L041",86.1260388794469,-0.609839727565372,"DTM","Clavet_2024",86.7358786070122
"L042",88.1985425331646,1.46266392615237,"DTM","Clavet_2024",86.7358786070122
"L043",86.8884227970793,0.15254419006709,"DTM","Clavet_2024",86.7358786070122
"L044",88.1012178697027,1.36533926269051,"DTM","Clavet_2024",86.7358786070122
"L045",89.1584501740809,2.42257156706872,"DTM","Clavet_2024",86.7358786070122
"L046",87.2711056118531,0.535227004840849,"DTM","Clavet_2024",86.7358786070122
"L047",87.8525732577785,1.11669465076626,"DTM","Clavet_2024",86.7358786070122
"L048",86.3073474009791,-0.428531206033085,"DTM","Clavet_2024",86.7358786070122
"L049",87.0654066222999,0.329528015287636,"DTM","Clavet_2024",86.7358786070122
"L050",86.1918927480352,-0.543985858977038,"DTM","Clavet_2024",86.7358786070122
